"issueId";0;"issueTypeCode"
1057217;"O_CR07";"O_CR12"
1062036;"O_CO08";"O_CO08"
1062450;"D_4F01";"D_4F01"
1062711;"O_CR01";"O_CR02"
1063499;"O_CO02";"O_CO02"
1063502;"O_CO03";"O_CO02"
1064115;"D_4F01";"D_4F01"
1064118;"D_4F01";"D_4F01"
1066027;"D_4F01";"O_CR07"
1066139;"O_CR01";"O_CR02"
1067253;"S_CO04";"S_CO04"
1067546;"O_CO02";"O_CO02"
1067560;"O_CO08";"O_CO08"
1067604;"O_CR06";"O_CR01"
1067942;"R_4F04";"R_4F04"
1069827;"O_CR06";"O_CO08"
1071273;"O_CR01";"O_CR01"
1073632;"O_CO08";"O_CO08"
1073638;"O_CO08";"O_CO08"
1073701;"O_RE03";"O_CO01"
1073943;"D_4F01";"D_4F01"
1074368;"O_CR06";"O_CO01"
1076000;"D_4F01";"D_4F01"
1076007;"D_4F01";"D_4F01"
1078654;"D_4F01";"D_4F01"
1078752;"O_CO02";"O_CO02"
1079820;"D_4F01";"D_4F01"
1079895;"O_CO02";"D_4F01"
1079922;"R_4F09";"R_4F09"
1080401;"S_CO03";"S_CO03"
1084903;"R_4F04";"R_4F09"
1085571;"R_4F09";"R_4F07"
